rater_1,rater_2
Pass,Pass
Pass,Pass
Pass,Pass
Pass,Pass
Fail,Fail
Fail,Fail
Fail,Fail
Fail,Fail
Pass,Pass
Fail,Fail
Fail,Fail
Fail,Fail
Pass,Pass
Fail,Fail
Fail,Fail
Fail,Fail
Fail,Fail
Fail,Fail
Fail,Fail
Fail,Pass
Fail,Fail
Fail,Fail
Fail,Fail
Fail,Fail
Fail,Fail
Fail,Fail
Fail,Fail
Fail,Fail
Fail,Fail
Pass,Pass
Pass,Pass
Pass,Pass
Fail,Fail
Fail,Fail
Fail,Fail
Fail,Fail
Pass,Pass
Fail,Fail
Fail,Fail
Pass,Pass
Pass,Pass
Fail,Fail
Pass,Pass
Fail,Fail
Fail,Fail
Fail,Fail
Fail,Fail
Fail,Fail
Fail,Fail
Fail,Fail
Fail,Fail
Pass,Pass
Fail,Fail
Fail,Fail
Fail,Fail
Fail,Fail
Fail,Fail
Fail,Fail
Fail,Fail
Fail,Fail
Fail,Fail
Pass,Pass
Pass,Pass
Fail,Fail
Fail,Fail
Pass,Pass
Pass,Pass
Pass,Pass
Fail,Fail
Fail,Fail
Fail,Fail
Fail,Fail
Fail,Fail
Pass,Pass
Fail,Fail
Fail,Fail
Fail,Fail
Fail,Fail
Fail,Fail
Pass,Pass
Pass,Pass
Pass,Pass
Fail,Fail
Fail,Fail
Fail,Fail
Fail,Fail
Fail,Fail
Pass,Pass
Fail,Fail
Fail,Fail
Fail,Fail
Fail,Fail
Fail,Fail
Fail,Fail
Pass,Fail
Fail,Fail
Fail,Fail
Pass,Pass
Fail,Fail
Pass,Pass
Fail,Fail
Fail,Fail
Fail,Fail
Fail,Fail
Pass,Pass
Fail,Fail
Fail,Fail
Fail,Fail
Pass,Pass
Fail,Fail
Fail,Fail
Fail,Fail
Fail,Fail
Pass,Fail
Pass,Pass
Pass,Pass
Pass,Pass
Fail,Fail
Fail,Fail
Pass,Pass
Pass,Pass
Fail,Fail
Fail,Fail
Fail,Fail
Fail,Fail
Fail,Fail
Pass,Pass
Fail,Fail
Fail,Fail
Fail,Fail
Fail,Fail
Pass,Pass
Pass,Pass
Fail,Fail
Fail,Fail
Fail,Pass
Pass,Pass
Fail,Fail
Fail,Fail
